energy(eV)	IMFP(nm)
50.0000 	0.7920 
54.9000 	0.7750 
59.8000 	0.7620 
64.6000 	0.7540 
69.5000 	0.7490 
74.4000 	0.7470 
79.3000 	0.7470 
84.1000 	0.7500 
89.0000 	0.7550 
93.9000 	0.7600 
98.8000 	0.7670 
103.6000 	0.7750 
108.5000 	0.7840 
113.4000 	0.7930 
118.3000 	0.8030 
123.1000 	0.8130 
128.0000 	0.8240 
132.9000 	0.8350 
137.8000 	0.8460 
142.6000 	0.8570 
147.5000 	0.8690 
152.4000 	0.8810 
157.3000 	0.8930 
162.1000 	0.9050 
167.0000 	0.9170 
171.9000 	0.9290 
176.8000 	0.9410 
181.6000 	0.9540 
186.5000 	0.9660 
191.4000 	0.9790 
196.3000 	0.9910 
201.1000 	1.0040 
206.0000 	1.0170 
210.9000 	1.0290 
215.8000 	1.0420 
220.6000 	1.0550 
225.5000 	1.0670 
230.4000 	1.0800 
235.3000 	1.0930 
240.1000 	1.1050 
245.0000 	1.1180 
249.9000 	1.1310 
254.8000 	1.1440 
259.6000 	1.1560 
264.5000 	1.1690 
269.4000 	1.1820 
274.3000 	1.1940 
279.1000 	1.2070 
284.0000 	1.2200 
288.9000 	1.2320 
293.8000 	1.2450 
298.6000 	1.2580 
303.5000 	1.2700 
308.4000 	1.2830 
313.3000 	1.2960 
318.1000 	1.3080 
323.0000 	1.3210 
327.9000 	1.3330 
332.8000 	1.3460 
337.6000 	1.3580 
342.5000 	1.3710 
347.4000 	1.3830 
352.3000 	1.3960 
357.1000 	1.4080 
362.0000 	1.4210 
366.9000 	1.4330 
371.8000 	1.4460 
376.6000 	1.4580 
381.5000 	1.4700 
386.4000 	1.4830 
391.3000 	1.4950 
396.1000 	1.5070 
401.0000 	1.5200 
405.9000 	1.5320 
410.8000 	1.5440 
415.6000 	1.5570 
420.5000 	1.5690 
425.4000 	1.5810 
430.3000 	1.5930 
435.1000 	1.6050 
440.0000 	1.6180 
444.9000 	1.6300 
449.8000 	1.6420 
454.6000 	1.6540 
459.5000 	1.6660 
464.4000 	1.6780 
469.3000 	1.6900 
474.1000 	1.7020 
479.0000 	1.7150 
483.9000 	1.7270 
488.8000 	1.7390 
493.6000 	1.7510 
498.5000 	1.7630 
503.4000 	1.7750 
508.3000 	1.7870 
513.1000 	1.7990 
518.0000 	1.8100 
522.9000 	1.8220 
527.8000 	1.8340 
532.6000 	1.8460 
537.5000 	1.8580 
542.4000 	1.8700 
547.3000 	1.8820 
552.1000 	1.8940 
557.0000 	1.9050 
561.9000 	1.9170 
566.8000 	1.9290 
571.6000 	1.9410 
576.5000 	1.9530 
581.4000 	1.9640 
586.3000 	1.9760 
591.1000 	1.9880 
596.0000 	2.0000 
600.9000 	2.0110 
605.8000 	2.0230 
610.6000 	2.0350 
615.5000 	2.0460 
620.4000 	2.0580 
625.3000 	2.0700 
630.1000 	2.0810 
635.0000 	2.0930 
639.9000 	2.1040 
644.8000 	2.1160 
649.6000 	2.1280 
654.5000 	2.1390 
659.4000 	2.1510 
664.3000 	2.1620 
669.1000 	2.1740 
674.0000 	2.1850 
678.9000 	2.1970 
683.8000 	2.2080 
688.6000 	2.2200 
693.5000 	2.2310 
698.4000 	2.2430 
703.3000 	2.2540 
708.1000 	2.2660 
713.0000 	2.2770 
717.9000 	2.2880 
722.8000 	2.3000 
727.6000 	2.3110 
732.5000 	2.3230 
737.4000 	2.3340 
742.3000 	2.3450 
747.1000 	2.3570 
752.0000 	2.3680 
756.9000 	2.3790 
761.8000 	2.3910 
766.6000 	2.4020 
771.5000 	2.4130 
776.4000 	2.4250 
781.3000 	2.4360 
786.1000 	2.4470 
791.0000 	2.4580 
795.9000 	2.4700 
800.8000 	2.4810 
805.6000 	2.4920 
810.5000 	2.5030 
815.4000 	2.5150 
820.3000 	2.5260 
825.1000 	2.5370 
830.0000 	2.5480 
834.9000 	2.5590 
839.8000 	2.5700 
844.6000 	2.5820 
849.5000 	2.5930 
854.4000 	2.6040 
859.3000 	2.6150 
864.1000 	2.6260 
869.0000 	2.6370 
873.9000 	2.6480 
878.8000 	2.6590 
883.6000 	2.6700 
888.5000 	2.6820 
893.4000 	2.6930 
898.3000 	2.7040 
903.1000 	2.7150 
908.0000 	2.7260 
912.9000 	2.7370 
917.8000 	2.7480 
922.6000 	2.7590 
927.5000 	2.7700 
932.4000 	2.7810 
937.3000 	2.7920 
942.1000 	2.8030 
947.0000 	2.8140 
951.9000 	2.8250 
956.8000 	2.8360 
961.6000 	2.8470 
966.5000 	2.8580 
971.4000 	2.8680 
976.3000 	2.8790 
981.1000 	2.8900 
986.0000 	2.9010 
990.9000 	2.9120 
995.8000 	2.9230 
1000.6000 	2.9340 
1005.5000 	2.9450 
1010.4000 	2.9560 
1015.3000 	2.9660 
1020.1000 	2.9770 
1025.0000 	2.9880 
1029.9000 	2.9990 
1034.8000 	3.0100 
