energy(eV)	IMFP(nm)
100.0000 	0.5270 
104.8000 	0.5390 
109.5000 	0.5520 
114.3000 	0.5640 
119.0000 	0.5760 
123.8000 	0.5880 
128.5000 	0.6000 
133.3000 	0.6120 
138.0000 	0.6240 
142.8000 	0.6360 
147.5000 	0.6480 
152.3000 	0.6600 
157.0000 	0.6720 
161.8000 	0.6840 
166.5000 	0.6950 
171.3000 	0.7070 
176.0000 	0.7190 
180.8000 	0.7310 
185.5000 	0.7420 
190.3000 	0.7540 
195.0000 	0.7660 
199.8000 	0.7770 
204.5000 	0.7890 
209.3000 	0.8000 
214.0000 	0.8120 
218.8000 	0.8230 
223.5000 	0.8350 
228.3000 	0.8460 
233.0000 	0.8570 
237.8000 	0.8690 
242.5000 	0.8800 
247.3000 	0.8910 
252.0000 	0.9020 
256.8000 	0.9140 
261.5000 	0.9250 
266.3000 	0.9360 
271.0000 	0.9470 
275.8000 	0.9580 
280.5000 	0.9690 
285.3000 	0.9800 
290.0000 	0.9910 
294.8000 	1.0020 
299.5000 	1.0130 
304.3000 	1.0240 
309.0000 	1.0350 
313.8000 	1.0460 
318.5000 	1.0560 
323.3000 	1.0670 
328.0000 	1.0780 
332.8000 	1.0890 
337.5000 	1.0990 
342.3000 	1.1100 
347.0000 	1.1210 
351.8000 	1.1310 
356.5000 	1.1420 
361.3000 	1.1530 
366.0000 	1.1630 
370.8000 	1.1740 
375.5000 	1.1840 
380.3000 	1.1950 
385.0000 	1.2050 
389.8000 	1.2160 
394.5000 	1.2260 
399.3000 	1.2370 
404.0000 	1.2470 
408.8000 	1.2580 
413.5000 	1.2680 
418.3000 	1.2780 
423.0000 	1.2890 
427.8000 	1.2990 
432.5000 	1.3090 
437.3000 	1.3200 
442.0000 	1.3300 
446.8000 	1.3400 
451.5000 	1.3510 
456.3000 	1.3610 
461.0000 	1.3710 
465.8000 	1.3810 
470.5000 	1.3910 
475.3000 	1.4010 
480.0000 	1.4120 
484.8000 	1.4220 
489.5000 	1.4320 
494.3000 	1.4420 
499.0000 	1.4520 
503.8000 	1.4620 
508.5000 	1.4720 
513.3000 	1.4820 
518.0000 	1.4920 
522.8000 	1.5020 
527.5000 	1.5120 
532.3000 	1.5220 
537.0000 	1.5320 
541.8000 	1.5420 
546.5000 	1.5520 
551.3000 	1.5620 
556.0000 	1.5720 
560.8000 	1.5820 
565.5000 	1.5920 
570.3000 	1.6010 
575.0000 	1.6110 
