energy(eV)	IMFP(nm)
100.0000 	0.5270 
579.8000 	1.6210 
584.5000 	1.6310 
589.3000 	1.6410 
594.0000 	1.6510 
598.8000 	1.6600 
603.5000 	1.6700 
608.3000 	1.6800 
613.0000 	1.6900 
617.8000 	1.6990 
622.5000 	1.7090 
627.3000 	1.7190 
632.0000 	1.7280 
636.8000 	1.7380 
641.5000 	1.7480 
646.3000 	1.7580 
651.0000 	1.7670 
655.8000 	1.7770 
660.5000 	1.7860 
665.3000 	1.7960 
670.0000 	1.8060 
674.8000 	1.8150 
679.5000 	1.8250 
684.3000 	1.8340 
689.0000 	1.8440 
693.8000 	1.8540 
698.5000 	1.8630 
703.3000 	1.8730 
708.0000 	1.8820 
712.8000 	1.8920 
717.5000 	1.9010 
722.3000 	1.9110 
727.0000 	1.9200 
731.8000 	1.9300 
736.5000 	1.9390 
741.3000 	1.9490 
746.0000 	1.9580 
750.8000 	1.9670 
755.5000 	1.9770 
760.3000 	1.9860 
765.0000 	1.9960 
769.8000 	2.0050 
774.5000 	2.0150 
779.3000 	2.0240 
784.0000 	2.0330 
788.8000 	2.0430 
793.5000 	2.0520 
798.3000 	2.0610 
803.0000 	2.0710 
807.8000 	2.0800 
812.5000 	2.0890 
817.3000 	2.0990 
822.0000 	2.1080 
826.8000 	2.1170 
831.5000 	2.1270 
836.3000 	2.1360 
841.0000 	2.1450 
845.8000 	2.1540 
850.5000 	2.1640 
855.3000 	2.1730 
860.0000 	2.1820 
864.8000 	2.1910 
869.5000 	2.2000 
874.3000 	2.2100 
879.0000 	2.2190 
883.8000 	2.2280 
888.5000 	2.2370 
893.3000 	2.2460 
898.0000 	2.2560 
902.8000 	2.2650 
907.5000 	2.2740 
912.3000 	2.2830 
917.0000 	2.2920 
921.8000 	2.3010 
926.5000 	2.3110 
931.3000 	2.3200 
936.0000 	2.3290 
940.8000 	2.3380 
945.5000 	2.3470 
950.3000 	2.3560 
955.0000 	2.3650 
959.8000 	2.3740 
964.5000 	2.3830 
969.3000 	2.3920 
974.0000 	2.4010 
978.8000 	2.4100 
983.5000 	2.4200 
988.3000 	2.4290 
993.0000 	2.4380 
997.8000 	2.4470 
1002.5000 	2.4560 
1007.3000 	2.4650 
1012.0000 	2.4740 
1016.8000 	2.4830 
1021.5000 	2.4920 
1026.3000 	2.5010 
1031.0000 	2.5100 
1035.8000 	2.5190 
1040.5000 	2.5280 
1045.3000 	2.5360 
1050.0000 	2.5450 
1054.8000 	2.5540 
1059.5000 	2.5630 
1064.3000 	2.5720 
1069.0000 	2.5810 
1073.8000 	2.5900 
1078.5000 	2.5990 
1083.3000 	2.6080 
1088.0000 	2.6170 
1092.8000 	2.6260 
1097.5000 	2.6350 
1102.3000 	2.6430 
1107.0000 	2.6520 
1111.8000 	2.6610 
1116.5000 	2.6700 
1121.3000 	2.6790 
1126.0000 	2.6880 
1130.8000 	2.6970 
1135.5000 	2.7060 
1140.3000 	2.7140 
1145.0000 	2.7230 
1149.8000 	2.7320 
1154.5000 	2.7410 
1159.3000 	2.7500 
1164.0000 	2.7580 
1168.8000 	2.7670 
1173.5000 	2.7760 
1178.3000 	2.7850 
1183.0000 	2.7940 
1187.8000 	2.8020 
1192.5000 	2.8110 
1197.3000 	2.8200 
1202.0000 	2.8290 
1206.8000 	2.8380 
1211.5000 	2.8460 
1216.3000 	2.8550 
1221.0000 	2.8640 
1225.8000 	2.8730 
1230.5000 	2.8810 
1235.3000 	2.8900 
1240.0000 	2.8990 
1244.8000 	2.9070 
1249.5000 	2.9160 
1254.3000 	2.9250 
1259.0000 	2.9340 
1263.8000 	2.9420 
1268.5000 	2.9510 
1273.3000 	2.9600 
1278.0000 	2.9680 
1282.8000 	2.9770 
1287.5000 	2.9860 
1292.3000 	2.9940 
1297.0000 	3.0030 
1301.8000 	3.0120 
1306.5000 	3.0200 
1311.3000 	3.0290 
1316.0000 	3.0380 
1320.8000 	3.0460 
1325.5000 	3.0550 
1330.3000 	3.0640 
1335.0000 	3.0720 
1339.8000 	3.0810 
1344.5000 	3.0890 
1349.3000 	3.0980 
1354.0000 	3.1070 
1358.8000 	3.1150 
1363.5000 	3.1240 
1368.3000 	3.1320 
1373.0000 	3.1410 
1377.8000 	3.1500 
1382.5000 	3.1580 
1387.3000 	3.1670 
1392.0000 	3.1750 
1396.8000 	3.1840 
1401.5000 	3.1920 
1406.3000 	3.2010 
1411.0000 	3.2100 
1415.8000 	3.2180 
1420.5000 	3.2270 
1425.3000 	3.2350 
1430.0000 	3.2440 
1434.8000 	3.2520 
1439.5000 	3.2610 
1444.3000 	3.2690 
1449.0000 	3.2780 
1453.8000 	3.2860 
1458.5000 	3.2950 
1463.3000 	3.3030 
1468.0000 	3.3120 
1472.8000 	3.3200 
1477.5000 	3.3290 
1482.3000 	3.3370 
1487.0000 	3.3460 
1491.8000 	3.3540 
1496.5000 	3.3630 
1501.3000 	3.3710 
1506.0000 	3.3800 
1510.8000 	3.3880 
1515.5000 	3.3970 
1520.3000 	3.4050 
1525.0000 	3.4140 
1529.8000 	3.4220 
1534.5000 	3.4310 
1539.3000 	3.4390 
1544.0000 	3.4470 
1548.8000 	3.4560 
1553.5000 	3.4640 
1558.3000 	3.4730 
1563.0000 	3.4810 
1567.8000 	3.4900 
1572.5000 	3.4980 
1577.3000 	3.5060 
1582.0000 	3.5150 
1586.8000 	3.5230 
1591.5000 	3.5320 
1596.3000 	3.5400 
1601.0000 	3.5480 
1605.8000 	3.5570 
1610.5000 	3.5650 
1615.3000 	3.5740 
1620.0000 	3.5820 
1624.8000 	3.5900 
1629.5000 	3.5990 
1634.3000 	3.6070 
1639.0000 	3.6150 
1643.8000 	3.6240 
1648.5000 	3.6320 
1653.3000 	3.6410 
1658.0000 	3.6490 
1662.8000 	3.6570 
1667.5000 	3.6660 
1672.3000 	3.6740 
1677.0000 	3.6820 
1681.8000 	3.6910 
1686.5000 	3.6990 
1691.3000 	3.7070 
1696.0000 	3.7160 
1700.8000 	3.7240 
1705.5000 	3.7320 
1710.3000 	3.7410 
1715.0000 	3.7490 
1719.8000 	3.7570 
1724.5000 	3.7650 
1729.3000 	3.7740 
1734.0000 	3.7820 
1738.8000 	3.7900 
1743.5000 	3.7990 
1748.3000 	3.8070 
1753.0000 	3.8150 
1757.8000 	3.8230 
1762.5000 	3.8320 
1767.3000 	3.8400 
1772.0000 	3.8480 
1776.8000 	3.8570 
1781.5000 	3.8650 
1786.3000 	3.8730 
1791.0000 	3.8810 
1795.8000 	3.8900 
1800.5000 	3.8980 
1805.3000 	3.9060 
1810.0000 	3.9140 
1814.8000 	3.9230 
1819.5000 	3.9310 
1824.3000 	3.9390 
1829.0000 	3.9470 
1833.8000 	3.9560 
1838.5000 	3.9640 
1843.3000 	3.9720 
1848.0000 	3.9800 
1852.8000 	3.9880 
1857.5000 	3.9970 
1862.3000 	4.0050 
1867.0000 	4.0130 
1871.8000 	4.0210 
1876.5000 	4.0290 
1881.3000 	4.0380 
1886.0000 	4.0460 
1890.8000 	4.0540 
1895.5000 	4.0620 
1900.3000 	4.0700 
1905.0000 	4.0790 
1909.8000 	4.0870 
1914.5000 	4.0950 
1919.3000 	4.1030 
1924.0000 	4.1110 
1928.8000 	4.1190 
1933.5000 	4.1280 
1938.3000 	4.1360 
1943.0000 	4.1440 
1947.8000 	4.1520 
1952.5000 	4.1600 
1957.3000 	4.1680 
1962.0000 	4.1770 
1966.8000 	4.1850 
1971.5000 	4.1930 
1976.3000 	4.2010 
1981.0000 	4.2090 
1985.8000 	4.2170 
1990.5000 	4.2250 
1995.3000 	4.2330 
2000.0000 	4.2420 
